"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"251744608860635138","","","","","2012-09-28 18:06:06 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Perspective distortion from viewing distance is critical in social judgements of faces / http://t.co/b5yt9yyG","http://bit.ly/QqQVwB"
"251741090628128768","","","","","2012-09-28 17:52:07 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Curiosity Rover Steps Right Into Ancient Riverbed on Mars / http://t.co/yuqG6mfH","http://bit.ly/QwcI6d"
"251740929290027009","","","251581339688644608","6078552","2012-09-28 17:51:29 +0000","web","RT @shamalman: Water on Mars? Curiosity's photos of Martian terrain are fascinating: http://t.co/WQrX9zRr","http://www.wired.com/wiredscience/2012/09/curiosity-water-on-mars/"
"251736491120803840","","","251733722028716033","213089063","2012-09-28 17:33:51 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @stratusapp: Looks like we will see a Stratus App v2. Get ready for a whole new experience!"
"251733623621971968","","","","","2012-09-28 17:22:27 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","At Wieden + Kennedy, they used @IFTTT and the Belkin WeMo to trigger a light when @instagram posted a new #coke tag / http://t.co/AlXGEOLL","http://bit.ly/Qw4P0o"
"251727295272853504","","","","","2012-09-28 16:57:18 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",". @R_O_P_E_R &amp; @SeaWolff http://t.co/nIC49gL2","http://share.manikrathee.com/Jn56"
"251713503822491648","","","251709806296051712","14231571","2012-09-28 16:02:30 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @marcoarment: New SVG ?Available/Download on the App Store? badges: https://t.co/KNAENShy

For SVGs, add to your Apache config:
AddTy ...","https://developer.apple.com/appstore/resources/marketing/index.html"
"251711837270331395","","11855482","","","2012-09-28 15:55:53 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@brad_frost Great meeting you today - hope you enjoyed meeting the rest of the team."
"251711149815525376","","","","","2012-09-28 15:53:09 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Warriors Animated by @frazdav on @dribbble / http://t.co/hD04SJ3g","http://bit.ly/Qofhaf"
"251706412655316994","","","251017848779051008","8038312","2012-09-28 15:34:19 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @izs: ""If only *someone* could +1 this github issue? Then I'd *definitely* have the time to work on it.""
? No developer ever."
"251697665564356610","","11855482","","","2012-09-28 14:59:34 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","?When you?re finished changing, 
you?re finished.? - Ben Franklin

@brad_frost #webvisions"
"251695563895078912","","","","","2012-09-28 14:51:13 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","?Acknowledge and embrace unpredictability"" - @brad_frost #webvisions"
"251692758727802881","","","","","2012-09-28 14:40:04 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Embrace the squishiness.?

- @brad_frost #webvisions"
"251690119294238720","","","","","2012-09-28 14:29:35 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","?We need to make smarter content, not smarter containers.? - Stephanie Rieger 

#webvisions"
"251687308351393792","","","","","2012-09-28 14:18:25 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","?Create relevant, purposeful content.? - @brad_frost #webvisions 

(People?s capacity for bullshit is rapidly diminishing.)"
"251686668610969600","","","","","2012-09-28 14:15:52 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","This is the web. #webvisions http://t.co/lq2C1buf","http://share.manikrathee.com/JnSM"
"251685511389904896","","","","","2012-09-28 14:11:16 +0000","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","For a Future-Friendly Web with @brad_frost.  #webvisions #futurefriendly   @ Gene Siskel Film Center http://t.co/qryHhYEQ","http://instagr.am/p/QHzFW3pMAe/"
"251684475027718144","","","","","2012-09-28 14:07:09 +0000","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Web Visions Conference  @ Gene Siskel Film Center http://t.co/aDJx9PxE","http://instagr.am/p/QHylehJMAQ/"
